id,source_url,title,overview,outcome,status,platform,asset_urls,asset_text_extracts,created_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,https://tennesseestar.com/2020/09/21/mayor-john-cooper-claims-nashville-bar-and-restaurant-owners-have-been-playing-with-matches-in-a-barn-complaining-about-taking-their-matches-away/?fbclid=IwAR0YDsD-EOftvZS-rB0MD_33KvINt747pGTZcRpNATZUBz876m78Jb_3WYQ,American post questions Nashville Mayor's closure of bars,The post submitted for review asks whether or not Nashville Mayor John Cooper deliberately over-stated COVID-19 case count to motivate closure of bars.,The Mayor has not over-stated the COVID-19 case count iro Nashville bars. The claim has been fact-checked here: https://www.tennessean.com/story/news/2020/09/18/fact-check-nashville-mayor-cooper-coronavirus-stats/3491786001/. The post in question appears to be on a media site that seems to be deliberately skewing news and information about COVID,Resolved,Other Website,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/s2whlz5w__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/s2whlz5w__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/s2whlz5w__0.png,The Tennessee Star 5h 6 Mayor John Cooper today saying it's fake news that Nashville is hiding information about its COVID clusters in bars. Did Nashville's mayor deliberately overstate the number of coveted cases tied to Nashville bars when he shut them down July 2nd? https://sWs.sh/ZIHvU NASHVILLE NOW ON MAYOR DENIES HIDING DETAILS ON COVID CASES IN BARS COOPER CALLS ALLEGATIONS FAKE NEWS i TENNESSEESTAR.COM Mayor John Cooper Claims Nashville Bar and Restaurant Owners 'Have Been Playing with Matches in a Barn 4 41 16 Comments 6 Shares Like Comment Share |,The Tennessee Star 5h 6 Mayor John Cooper today saying it's fake news that Nashville is hiding information about its COVID clusters in bars. Did Nashville's mayor deliberately overstate the number of coveted cases tied to Nashville bars when he shut them down July 2nd? https://sWs.sh/ZIHvU NASHVILLE NOW ON MAYOR DENIES HIDING DETAILS ON COVID CASES IN BARS COOPER CALLS ALLEGATIONS FAKE NEWS i TENNESSEESTAR.COM Mayor John Cooper Claims Nashville Bar,2020-09-21 10:09:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,https://twitter.com/nickhudsonct/status/1338839272951062529?s=21,Second hand information pertaining to medical certification of deaths due to COVID-19,This complaint pertains to a tweet in which the User relays information,advice,opinions from unsubstantiated third parties on the topic of medical certification of deaths due to COVID-19.   The complaint is that this information is inaccurate.,The assertion we're simply labelling any death with a positive test in 30 days as Covid is misleading as it is information received from other people which cannot be substantiated and is therefore hearsay. As a result,since the sources of the information cannot be substantiated,the information has the propensity to mislead.   The intent of the content is to posit that the mortality and morbidity of the pandemic is being overstated. This narrative directly contributes to individuals not taking decisions which would reduce the impact of the pandemic.  https://www.nicd.ac.za/wp-content/uploads/2020/07/Circular-Medical-certification-of-deaths-due-to-COVID-19.pdf,Resolved,Twitter,NULL,NULL,2020-12-16 14:16:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,https://www.youtube.com/watch?v=x84pxEHZJjw,Chief Justice Mogoeng Mogoeng making statements about COVID-19 in terms of religious rhetoric.,This complaint pertains to a video clip of Chief Justice Mogoeng Mogoeng giving a speech to a crowd in which he states,amongst other things,that “If there be any vaccine that is the work of the devil,meant to infuse 666 in the lives of the people,meant to corrupt their DNA … may it be destroyed by fire.”   The complaint is that the statements made by the Chief Justice constitutes fake news.,The Chief Justice's claims about the vaccine are misinformed and inaccurate. If people believe the CF's claims about the vaccine,they may feel moved not to take it when it becomes available. While this is their choice,it should rather be that a choice not to take a vaccine is grounded in scientific fact.   https://www.businesslive.co.za/fm/opinion/2020-12-14-rob-rose-scientists-call-for-mogoengs-impeachment-over-vaccine-conspiracy/.,Resolved,Youtube,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/ubyl375u__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/ubyl375u__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/ubyl375u__0.png,YouTube ZA mogoeng mogoeng a PROVINOAL GOVERNMENT PROVINCIAL SOVERNMENT REPUBLIC or soutte REPUBLIC OF REPUBLIC or soume APRICA Growing Growing 17:15 CAT uteng Gauteng Gauteng bgether Together Together ITEN GAUTENG GAUTENG APRICA REPUBLE or soutte ARICA POVINGIAL GOVERNMENT REPUBLIC OW soutte APRICA g Gro Gau er To @SAToday SABC CHIEF JUSTICE SABC CORRUPTION DURING COVID-19 PANDEMIC BY NEWS NEWS GOVERNMENT OFFICIALS AN EMRARRASSMENT N 0:14/2:07 ON CASE AGAINST FORMER ETHEKWINI MAYOR ZANDILE GU CC COVID-19 LEARN MORE Get the latest information from the Department of Health about COVID-19. See more resources on Google |,YouTube ZA mogoeng mogoeng a PROVINOAL GOVERNMENT PROVINCIAL SOVERNMENT REPUBLIC or soutte REPUBLIC OF REPUBLIC or soume APRICA Growing Growing 17:15 CAT uteng Gauteng Gauteng bgether Together Together ITEN GAUTENG GAUTENG APRICA REPUBLE or soutte ARICA POVINGIAL GOVERNMENT REPUBLIC OW soutte APRICA g Gro Gau er To @SAToday SABC CHIEF JUSTICE SABC CORRUPTION DURING COVID-19 PANDEMIC BY NEWS NEW,2020-12-20 6:53:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,https://www.facebook.com/story.php?story_fbid=3671705649561800&id=296664083732657&scmts=scwspsdd,NewEra postulating the efficacy of Ivermectin in treating COVID-19,This complaint pertains to a Facebook post in which New Economic Rights Alliance (NewEra) detail the push for the use of Ivermectin in curbing the progression and spread of COVID-19.  The complain is that Insinuating that the government is withholding life saving medicine is misinformation.,On 25 January 2021 the National Essential Medicines Committee COVID-19 sub-committee released the results of a rapid review of ivermectin for the prevention of COVID-19 in which they concluded that “Overall,the benefits and the harms of ivermectin for prophylaxis of COVDI-19 remains uncertain. The committee further suggests that ivermectin not be used routinely for COVID-19 except in the context of a clinical trial.   The subcommittee also released the results of a rapid review of ivermectin for the treatment of COVID-19 in which they concluded that “There is currently insufficient evidence to recommend ivermectin for the treatment of patients with COVID-19.” SAHPRA has also conducted a review of the new data and has arrived at the same conclusion as these esteemed,independent review groups. SAHPRA has a team of expert reviewers on standby to review any new data on the use of ivermectin for the prevention and treatment of COVID-19 infections which are expected to become available in the forthcoming weeks and months.   In the interim,as communicated at the press briefing of the 27 January 2021,SAHPRA will implement a compassionate use access program via the legal framework of Section 21 of the Medicines and Related Substances Control Act (101 of 1965 as amended). Clear guidance on how this access programme will work will be published separately. This access programme will utilise the opportunity to collect much-needed data on the performance of ivermectin in South African patients through its COVI-VIG reporting platform.   Source: https://www.sahpra.org.za/press-releases/update-on-the-use-of-ivermectin-in-the-prevention-or-treatment-of-covid-19/,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/DFAJA452__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/DFAJA452__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/DFAJA452__0.jpeg,3:18 PM 83 Stop Covid with Ivermectin Inbox * The NewERA 2:50 PM T oud un,Ivermectin is the solution to cutting down the COVID numbers in a matter of days. It's cheap,it's safe,it's derived from microorganisms found in nature,it's a Nobel Prize winner and it works. Read the top line of page 2,published by Dr Farida Amod,Infection Disease Specialist in KZN reproduced on our Facebook page: https://www.facebook.com/ NewEconomicRightsAlliance Please put pressure on the government to solve this Covid problem and get IVERMECTIN to the people. The NewERA |,3:18 PM 83 Stop Covid with Ivermectin Inbox * The NewERA 2:50 PM T oud un,Ivermectin is the solution to cutting down the COVID numbers in a matter of days. It's cheap,it's safe,it's derived from microorganisms found in nature,it's a Nobel Prize winner and it works. Read the top line of page 2,published by Dr Farida Amod,Infection Disease Specialist in KZN reproduced on our Facebook page: https://www.facebook.com/ NewEconomicRightsAlliance Please put p,2020-12-20 13:24:18,,,,,,,,,,,,,,,,,,,,
1182,https://m.facebook.com/thecurryos/photos/a.742910845843759/2245947598873402/?type=3&source=57&ref=m_notif&notif_t=nf_share_story,Advertisement in which the item being sold is a Corona Cure,This complaint pertains to an advertisement published on Facebook in which the poster intimates that its product,soup,is a cure for COVID-19.   The complaint is that this is misleading.,It is unclear whether the content is intended to be taken at face value or if it is tongue in cheek although it is suspected that the latter is the case. The best practice observed by many creators of parody/comedy/satire would be the insertion of a disclaimer indicating same. Unfortunately none is present in this instance.   	If people believe the soup being sold function as a cure for Covid,they may be moved to act in a manner that disregards the safety protocols intended to prevent the unruly spread of the virus.,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/f477090w__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/f477090w__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/f477090w__0.jpeg,7:48 C . Gi.il 5%5 m.facebook.com/thecur 53 The Curry O's - Rasum with Birth Masa. How many for Chicken Rasum Today Corona Cure call 832505040 Please Bring your own containers Coz its a Soup The Curry O's /THECURRYOS WOSELIY Rasum with Birth Masala. o |,7:48 C . Gi.il 5%5 m.facebook.com/thecur 53 The Curry O's - Rasum with Birth Masa. How many for Chicken Rasum Today Corona Cure call 832505040 Please Bring your own containers Coz its a Soup The Curry O's /THECURRYOS WOSELIY Rasum with Birth Masala. o |,7:48 C . Gi.il 5%5 m.facebook.com/thecur 53 The Curry O's - Rasum with Birth Masa. How many for Chicken Rasum Today Corona Cure call 832505040 Please Bring your own containers Coz its a Soup The Curry O's /THECURRYOS WOSELIY Rasum with Birth Masala. o |,2020-12-24 6:00:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,https://twitter.com/mynameisjerm/status/1343805370985291778?s=21,Wearing of Masks in public is not compulsory,The tweeter alleges that it is not a requirement to wear a mask in public,only to put one on when requested to do so by SAPS.,This information is clearly MisInformation. Dissemination of information of this nature does not benefit the public,can cause clear public harm and should be removed.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/9qsn7gqy__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/9qsn7gqy__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/9qsn7gqy__0.jpeg,Tweet ORD Jerm WARFARE @mynameisjerm You can still walk around without a mask in public. Just put it on once a cop has told you to put it on. Then take it off again once he's gone. 34. -1 For the purposes of these Regulations,a 'face mask' means a cloth face mask or a homemade item that covers the nose and mouth,or another appropriate item to cover the nose and mouth. -2 The wearing of a face mask is mandatory for every person when in a public place,and any person who fails to comply with a verbal instruction by an enforcement officer to wear a face mask,commits an offence and is,on conviction,liable to a fine or a period of imprisonment not exceeding six months,or to both such fine and imprisonment. 08:25 2020/12/29 Twitter for iPhone 5 Retweets 19 Likes |,Tweet ORD Jerm WARFARE @mynameisjerm You can still walk around without a mask in public. Just put it on once a cop has told you to put it on. Then take it off again once he's gone. 34. -1 For the purposes of these Regulations,a 'face mask' mean,2020-12-29 6:43:41,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,https://twitter.com/TonyLeonSA/status/1345310459046596608?s=20,Twitter: Dr Zweli Mkhize Covid19 vaccination,Complaint is that the tweet contain false or misleading information regarding Dr Zweli Mkhize's and the Covid19 vaccination.,The tweet constitutes mis- or disinformation. It contains misleading information,which is the misrepresentation of Dr Zweli Mkhize's statement. An infographic must be issued and Twitter informed of the outcome.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/HKQRJBX7__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/HKQRJBX7__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/HKQRJBX7__0.jpeg,Lebara x / 78% IO 13:04 hly Tweet Leon Schreiber @Leon_Schreib Manto Tshabalala-Msimang 2001: Antiretrovirals do not work. Zweli Mkhize,2021: Covid vaccines do not work. Translate Tweet Dr Zweli Mkhize C @DrZweliMkhize . 2d The vaccine is not a silver bullet in stopping the spread of #COVID19. Non-pharmaceutical interventions like wearing masks and practicing social distancing is still our best weapon to slow down transmission. #Vaccin #VaccineStrategy  Many South Africans believe the vaccine is a silver bullet to ending this pandemic. That is not true. The vaccine is not the solution in the short term. People need to take responsibility in controlling the epidemic. 7.21.0 lon 01 Twitter foriDhand Tweet your reply |,Lebara x / 78% IO 13:04 hly Tweet Leon Schreiber @Leon_Schreib Manto Tshabalala-Msimang 2001: Antiretrovirals do not work. Zweli Mkhize,2021: Covid vaccines do not work. Translate Tweet Dr Zweli Mkhize C @DrZweliMkhize . 2d The vaccine is not a silver bullet in stopping  the spread of #COVID19.,2021-01-02 13:58:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,https://www.facebook.com/groups/somersetwest1,Facebook: WHO comment on use of masks,Complaint is that the Facebook post contains false and misleading information,that cloth masks and normal surgical masks don't work,and that could possibly cause public harm.,This Facebook post constitutes mis- or disinformation. It contains false and misleading information that could possibly cause great public harm. The post has already been removed. An infographic should be issued.,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/73qdxp6s__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/73qdxp6s__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/73qdxp6s__0.jpeg,- Karl Bodin Not here to debate anything! Facts from the same Government. The WHO still say cloth masks and normal surgical masks don't work. Facts from US-CDC - 85% of infected patients were mask wearers.  Facts from surgical mask manufacturers - the masks will not provide ANY protection from Coronavirus or OTHER VIRUSES or contaminants. Wearing an ear-loop mask does not reduce the risk of contracting any disease or  infection. Fact - medical personnel use surgical masks (not N95) to prevent their saliva dropping onto a patient,as well as blood or other fluids transferring onto them from patients. . - - - - Sape: - 19 Response an - - Appeal by the Head of Health for the appropriate use of masks - IVI |,- Karl Bodin Not here to debate anything! Facts from the same Government. The WHO still say cloth masks and normal surgical masks don't work. Facts from US-CDC - 85% of infected patients were mask wearers.  Facts from surgical mask manufacturers - the masks will  not provide ANY protection from Coronavirus or,2021-01-03 15:37:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,,WhatsApp: Covid19 Injections in Penis encouraged,The complaint is false and not reported in mainstream media.,This information is clearly DisInformation. Dissemination of information of this nature does not benefit the public,but is intended to cause harm to the public and should be removed. This has widely been reported as fake news on some sites including: https://www.boomlive.in/fact-check/fact-check-viral-news-doctors-covid-19-vaccine-injections-in-penis-cnn-news-11392 and https://www.altnews.in/doctors-advice-covid-19-vaccine-jabs-in-penis-for-men-hoax-cnn-article-viral/ The viral post has mischievously used the logo of CNN,a US-based media organisation,perhaps as a satire or to spread hoax.,Resolved,WhatsApp,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/2jdcvy3t__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/2jdcvy3t__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/2jdcvy3t__0.jpeg,Doctors encourage covid-19 vaccine injections in penis. a Safe area for injection Doctors are discovering that,for male patients,the penis offers the fastest release of the vaccine throughout the body. Based on findings from a University of California study involving 1,500 men who received the vaccine. |,Doctors encourage covid-19 vaccine injections in penis. a Safe area for injection Doctors are discovering that,for male patients,the penis offers the fastest release of the vaccine throughout the body. Based on findings from a University of California study involving 1,500 men who received the vaccine. |,Doctors encourage covid-19 vaccine injections in penis. a Safe area for injection Doctors are discovering that,for male patients,the penis offers the fastest release of the vaccine throughout the body. Based on findings from a University of California  study involving 1,500 men who received the vaccine. |,2021-01-04 15:47:20,,,,,,,,,,,,,,,,,,,,,,,
1205,,Steam Kills Covid19,Claim that steam/steaming kills the Covid19 Virus is false and dangerous,This information is clearly Mis /DisInformation. Dissemination of information of this nature does not benefit the public,but is intended to cause harm to the public and should be removed. It has been debunked by Africa Check and others,eg: https://africacheck.org/fbcheck/no-hot-steam-and-tea-cant-cure-covid-19/. It's dangerous information in that it could actually cause harm for people shoving their heads over scalding water.,Resolved,WhatsApp,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/gl9mx8dm__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/gl9mx8dm__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/gl9mx8dm__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/gl9mx8dm__1.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/gl9mx8dm__1.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/gl9mx8dm__1.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/gl9mx8dm__2.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/gl9mx8dm__2.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/gl9mx8dm__2.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/gl9mx8dm__3.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/gl9mx8dm__3.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/gl9mx8dm__3.jpeg,10:00 all Watch Aficionados Adiel,Anti Vax,Carl,Diamandis,DONT,A Forwarded Dr Marisa Emeg: Morning guys,just unpdate about the worsening Covid19 at the momemt. The new type is now unselective,hitting as young as 10 year olds and still infecting those who once had covid before. The situation on the ground is astounding.Get urgent attention with suspicion of Covid where you have headache,fever,loss of taste,weakness,cough,diarrhea. We are in trouble as we speak. Protect yourself and many more others by wearing masks,social distancing etc. This time,the temperature moves quite fast with some readings going as high as 40 degrees while BP crashes dramatically.High risk of clot formation. Diabetics,Hypertensives,cancers pliz take note! Important Message for all The hot water you drink is good for your throat. But this coronavirus is hidden behind the paranasal sinus of your nose for 3 to 4 days. The hot water we drink does not reach there. After 4 to 5 days this virus that was  hidden behind the para,2021-01-05 8:02:04,,,,,,,,,,
1208,https://www.facebook.com/mhlumelo/posts/10220753321036136,Facebook: Steaming one's face to treat Covid19,Complaint is that this Facebook post contains false and misleading information that suggests that face steaming can directly treat Covid19.,This Facebook post constitutes disinformation,dissemination of information of this nature does not benefit the public,but is intended to cause harm to the public. An infographic must be issued and Facebook informed of the outcome.,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/dt673zyl__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/dt673zyl__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/dt673zyl__0.png,Hlumelo Marepula @HlumeloM. . 14m Replying to @HlumeloMarepula Take it from someone who just recovered from Covid. I had flu like symptoms and muscle aches and pains. The steaming completely removed COVID from my system within 10 days. (I know this cos I tested positive on a Tuesday,and the following Wednesday,I tested negative). 2 Cl Hlumelo Marepula @HlumeloMa . 5m How exactly did I do it? I boiled water,poured it in a large bowl. I took a towel and covered my head and shoulders and leaned into the bowl. I breathed in through my nose and out through my mouth ten times. And vice versa. Don't overdo it. D1 L2 O Hlumelo Marepula @HlumeloMa 2m I also didn't add anything to the water. The steam is very effective on its own. This is a method used to treat Covid patients in various hospitals around India. Also,if you are definitely Covid positive,you should try sitting in the sun for about 15 minutes a day. 1 CI M |,Hlumelo Marepula @HlumeloM. . 14m Replying to @HlumeloMarepula  Take it from someone who just,2021-01-05 20:29:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,,Vaccinations cause Death,Complaint that this is anti-Vax Nonsense,This information is clearly Mis /DisInformation. Dissemination of information of this nature does not benefit the public,but is intended to cause harm to the public and should be removed.,Resolved,WhatsApp,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/2USSV9JF__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/2USSV9JF__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/2USSV9JF__0.jpeg,+27 83 380 3270 ~ Des Im surprised that so many believe in the vaccine. Have u any idea how many young with no underlying conditions have died since having the vaccine. Especially th Pfizer vacine and those who have not died have had extreme side effects like bells palsy. You are being used as guinea pigs people wake up and smell the roses. Google and do yr homework first before taking this vaccine. And its not just the elderly who have died. My opinion. But you have freedom of choice. But i do beliebe you should do yr homework worlswide first. 17:03 |,+27 83 380 3270 ~ Des Im surprised that so many believe in the vaccine. Have u any idea how many young with no underlying conditions have died since having the vaccine. Especially th Pfizer vacine and those who have not died have had extreme side effects like bells palsy. You are being used as guinea pigs people wake up and smell the roses. Google and do yr homework first before taking this vaccine. And its not just the elderly who have  died. My opinion. But y,2021-01-06 16:02:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,https://twitter.com/Jonathan_Witt/status/1346921479959666697,Image from 2017 alleged to be from recent US Protests.,The image in the picture can be google searched,and related to an event in 2017. It was not taken during the recent protests in the US.,This meets some of the criteria for misinformation. As indicated by the complainant,the image in Witt's tweet is not related to current/recent events in Washington. The error may have been unintentional. However,it does not constitute public harm.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/Q4EKASZU__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/Q4EKASZU__0.png,Jonathan Witt @Jonathan_Witt . Jan 6 0 Terrible scenes in Washington D.C. WE The PEOFLE O 10 10 42 |,Jonathan Witt @Jonathan_Witt . Jan 6 0 Terrible scenes in Washington D.C. WE The PEOFLE O 10 10  42 |,2021-01-08 8:25:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,,WhatsApp Group: Cross-Talk Discussions spreading disinformation.,Complaint that this group is spreading conspiracy theories and disinformation and the administrators need to be warned.,The content on this group falls within the parameters of the criminalised conduct of spreading false information around Covid19. It is important for administrators of these sorts of groups to be aware of their liability for criminal conduct on the group and they should be made aware of this.,Resolved,WhatsApp,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/74V39WIH__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/74V39WIH__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/74V39WIH__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/74V39WIH__1.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/74V39WIH__1.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/74V39WIH__1.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/74V39WIH__2.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/74V39WIH__2.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/74V39WIH__2.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/74V39WIH__3.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/74V39WIH__3.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/74V39WIH__3.jpeg,15:42 y Lie 23% CROSS-TALK - DISCUSSIONS Sindy,+27 63 431 5121,+27 63 777 2954 public health law; they are a legally defined term;under Read more 10:33 27 82 428 0918 TeresaJ Forwarded many times EXACTLY WHAT I'VE SUSPECTED ALL ALONG I have a PhD in virology and immunology. I'm a clinical lab scientist and have tested 1500 0 supposed positive Covid 19 samples collected here in S. California. When my lab team and I did the testing through Koch's postulates and observation under a SEM (scanning elec Read more 10:33 +27 76 933 3499 Gean So vermoed het al pasiente wat op eendag positief en negetief getoets het by verskillende labs 10:34 +27 82 428 0918 ~TeresaJ Look at his credentials whowww!!! 10:35 +27 74 976 5528 Anette Stoffberg Forwarded many times Beach Closures & 5G RollOut - coincidence? 4G 5G Calvínia Victoria West Cradock West e National.Pa Alice à Laingsibung Grahamstown Oudtshoom Stellenbosch Gegrge Rort Elizabeth E 65G Bay S G 5G 10:56 +27 74 976 5528 Anette Stoffberg Forwarded many times  Will y,2021-01-08 13:47:48,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,https://www.facebook.com/profile.php?id=100007879038749,Facebook user spreading disinformation about COVID19,Spreading false news about the corona virus pandemic. No facts to back up false statements. Putting people in danger by telling them not to follow protocols.,This information is clearly DisInformation. Dissemination of information of this nature does not benefit the public,but is intended to cause harm to the public and should be removed.,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/UMVV2LYL__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/UMVV2LYL__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/UMVV2LYL__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/UMVV2LYL__1.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/UMVV2LYL__1.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/UMVV2LYL__1.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/UMVV2LYL__2.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/UMVV2LYL__2.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/UMVV2LYL__2.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/UMVV2LYL__3.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/UMVV2LYL__3.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/UMVV2LYL__3.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/,00:06 4 4 Share Umayr Isaacs 04 Oct 2020 . Took this Pic on Friday. Habibia Masjid pillars filled with 5g destructive weapons. I I EXIT ib 3 12 comments 2 shares Like Comment Share Umayr Isaacs ... 04 Oct 2020 . Y Kaashif Van Bidah TAWHEED |,00:06 4 4 Share Umayr Isaacs 04 Oct 2020 . Took this Pic on Friday. Habibia Masjid pillars filled with 5g destructive weapons. I I EXIT ib 3 12 comments 2 shares Like Comment Share Umayr Isaacs ... 04 Oct 2020 . Y Kaashif Van Bidah TAWHEED |,00:06 4 4 Share Umayr Isaacs 04 Oct 2020 . Took this Pic on Friday. Habibia Masjid pillars filled with 5g destructive weapons. I I EXIT ib 3 12 comments 2 shares Like Comment Share Umayr Isaacs ... 04 Oct 2020 . Y Kaashif Van Bidah TAWHEED |,23:58 That which merely gets superficial attenti. See more ib 1 Like Comment Share Umayr Isaacs 06 Nov 2020 . {O you who have believed,respond to Allah and to the Messenger when he calls you to that which gives you life} [AI-Anfäl: 24]  'Urwah ibn az-Zubayr (rahimahulläh) said,{That which  giv,2021-01-08 17:57:36,,,,,,,,,,,,,,,,,,,,,
1222,,Pastor alleging God told him of a war between whites and blacks in 2021,Complaint: There is a pastor whose video is going around on social media who is spreading misinformation about his vision (from “the lord”) for 2021 - white people having guns and black people only having stones”,and inferring there is going to be a war/violence between white and black people,This constitutes both disinformation and incitement to violence. An infographic must be issued.,Resolved,WhatsApp,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/LONE7SCX__0.mp4,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/LONE7SCX__0.mp4,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/LONE7SCX__0.mp4,NULL,2021-01-08 20:51:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
