id,source_url,title,overview,outcome,status,platform,asset_urls,asset_text_extracts,created_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,,WhatsApp: Journalists part of a Ramaphosa Progaganda Whatsapp Group,Complaint that this has not been reported in mainstream media. Allegation that the group is a propaganda WhatsApp group for President Ramaphosa.,This is Misinformation and attempts to undermine the credibility of the media. There is no evidence to support the claim's made that the Whatsapp group in question has anything to do with President Cyril Ramaphosa or any alleged propaganda.,Resolved,WhatsApp,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/sp9od1t0__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/sp9od1t0__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/sp9od1t0__0.jpeg,BREAKING NEWS: South African journalists exposed for being in President Ramaphosa's propaganda WhatsApp group called Thuma Mina media group 10% 2010:09 10% Thuma Mina media group Thuma Mina media group Thuma Mina media group Thuma Mina media group Created by Tasneem Carrim,10/31/17 o Created by Tasneem Carrim,10/31/17 Created by Tasneem Carrim 10/31/17 Created by Tasneem Carrim,10/31/17 Reggy Moalusi Sleeping 61 participants Adrian Group Admin SThembiso Aldrin Simpear Karima Brown Online Urgent calls only Can't talk,WhatsApp only Tasneem Carrim Group Admin Andiswa Makanda Tasneem Carrim Shanti Aboobaker Katy K FRIDAYS RESERVED FOR LAZING & TROLL Can't talk,WhatsApp only +27 78 547 4981 Group Admin Bongiwe Zwane Thank You,Jesus #NAME? Sipho to Mahlatse Gallens Uzile na Like the sun,that always rises,you are a c +27 82 464 9458 Hey therel am using What -Keith Peacock Thulas Simelane i Dianne Hawker Marathon Personal Best 03:37:30 half m... Mbali Sibanyoni A girl is a warrior +27 83 222 2327 Group Admi,2020-11-23 18:55:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,https://twitter.com/pietrampedi/status/1330899986947641345?s=24,Doctored tweet purportedly authored by Katy Katopodis is fake,The tweet in question has been doctored (this is evident as it exceeds the permissible Twitter word count),and brings journalist and senior SANEF member,Katy Katopodis,into disrepute.,The tweet in question is fabricated to further a certain agenda against journalist Katy Katopodis. It satisfies the legal criteria for disinformation which is to intentionally spread false information with the purpose of deception. In this case,the disinformation attempted to discredit Katopodis in her professional capacity as a journalist and also as a senior member of SANEF. While the effect of the disinformation may have in some aspects constituted harassment,not all criteria have been satisfied in this regard.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/DVP7AFT6__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/DVP7AFT6__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/DVP7AFT6__0.png,NULL,2020-11-23 19:02:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,https://www.facebook.com/louise.swart.5,Louise Swart: Facebook Claim that Covid19 is not a pandemic,The claim on FB by a Mrs. Louise Swart,wife of ACDP MP Steve Swart,that Covid-19 is not an pandemic and that it is just another flu. Her FB post has numerous statements from her which are all misleading her 5000 followers.,This information is clearly Mis /DisInformation. Dissemination of information of this nature does not benefit the public,but is intended to cause harm to the public and should be removed.,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/WP4WTBGW__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/WP4WTBGW__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/WP4WTBGW__0.jpeg,MAKER OF COVID TESTS SAYS PANDEMIC IS BIGGEST HOAX EVER PERPETRATED Sent Saturday,November 21,2020 View as plaintext from G. Edward Griffin 2020 Nov 21 Maker of COVID Tests Says Pandemic is Biggest Hoax Ever Perpetrated Top pathologist Dr. Roger Hodkinson told Canadian government officials in Alberta during a phone conference that the coronavirus pandemic is the greatest hoax ever perpetrated on an unsuspecting public. Hodkinson,who is the CEO of a biotech company that makes COVID tests,says There is utterly unfounded public hysteria driven by the media and politicians. We are seeing politics playing medicine,and that's a very dangerous game.' Positive test results do not mean a clinical infection,he says. All testing should stop because the false numbers they produce are driving public hysteria. Hodkinson says the risk of death for people under the age of 65 is one in is merely just another bad flu. |,MAKER OF COVID,2020-11-24 7:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,https://www.facebook.com/100028830562082/videos/491210458516635/,Jews for Hitler Video,Anti-semitic fake news.,This video meets the criteria for Disinformation and most of the criteria for hate speech. It should be removed from all platforms where it is being shared and strongly denounced.,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/W4ZJUGN9__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/W4ZJUGN9__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/W4ZJUGN9__0.jpeg,Johan Ramkat Boer Yesterday at 07:05 0 3 My Volk gaan ten gronde agv n gebrek aan kennis ! Kyk,luister,verstaan en sou jy verskil bewys die teendeel Carlo Da Camara Brigette Marx Brenda Lee-Neethling Liefde. See more Jews for Hitler Presents * * * * 0:03/11:12 45 9 comments 17 shares Like Comment Share |,Johan Ramkat Boer Yesterday at 07:05 0 3 My Volk gaan ten gronde agv n gebrek aan kennis ! Kyk,luister,verstaan en sou jy verskil bewys die teendeel Carlo Da Camara Brigette Marx Brenda Lee-Neethling Liefde. See more Jews for Hitler Presents * * * * 0:03/11:12 45 9 comments 17 shares Like Comment Share |,Johan Ramkat Boer Yesterday at 07:05 0 3 My Volk gaan ten gronde agv n gebrek aan kennis ! Kyk,luister,verstaan en sou jy verskil bewys die teendeel Carlo Da Camara Brigette Marx Brenda Lee-Neethling Liefde. See more Jews for Hitler Presents * * * * 0:03/11:12 45 9 comments 17 shares Like Comment Share |,2020-11-24 11:44:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,https://www.facebook.com/photo?fbid=482258052745209&set=a.115974869373531,Biden Supports Terrorism,Claim that the image and statement that Biden supports terrorist is false.,The post meets some of the criteria for Dis/Misinformation but not all.It is well documented that Biden has always been in favour of various organisations that oppose white minority rule and apartheid.The assertion of Biden supporting Terrorism is misleading. This document speaks to a report by the US senate which has Biden as a member.https://ufdc.ufl.edu/AA00024062/00001/9j,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/znfdiyr1__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/znfdiyr1__0.jpeg,Richmond Hamish Haddow LAST OF THE RHODESIANS 22 m . Biden Supporting the terrorists against Rhodesia. Let's NEVER FORGET! Panelists the future of Southern Rhodesia Daniel Madzimbamuto and Tapaon Mawere,on (Zimbabue) included an American,Senator representing the Patriotic Frond,and Dr. Elliot loseuh R. Biden,and representatives from the Gabellah,she all of Zimbalso |,Richmond Hamish Haddow LAST OF THE RHODESIANS 22 m . Biden Supporting the terrorists against Rhodesia. Let's NEVER FORGET! Panelists the future of Southern Rhodesia Daniel Madzimbamuto and Tapaon Mawere,on (Zimbabue) included an American,Senator representing the Patriotic Frond,and Dr. Elliot loseuh R. Biden,and representatives from the Gabellah,she all of Zimbalso |,2020-11-24 11:47:47,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,https://www.facebook.com/meyer.g.leroux,Masks are a way of controlling people,Complaint that post claims that masks are only for controlling people.,This is a clear case of Disinformation and an infographic must be issued.,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/MYT9SDF9__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/MYT9SDF9__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/MYT9SDF9__0.jpeg,Meyer Le Roux 15 September . o Dit is nie oor die masker nie. Dit gaan oor onderdanigheid. Dat mense dit steeds nie besef nie,is onrusbarend. Ine Bester and 151 others 8 comments 7 shares Like Comment Share View 6 more comments |,Meyer Le Roux 15 September . o Dit is nie oor die masker nie. Dit gaan oor onderdanigheid. Dat mense dit steeds nie besef nie,is onrusbarend. Ine Bester and 151 others 8 comments 7 shares Like Comment Share View 6 more comments |,Meyer Le Roux 15 September . o Dit is nie oor die masker nie. Dit gaan oor onderdanigheid. Dat mense dit steeds nie besef nie,is onrusbarend. Ine Bester and 151 others 8 comments 7 shares Like Comment Share View 6 more comments |,2020-11-24 12:10:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,https://www.facebook.com/meyer.g.leroux,Compilation of video clips driving Republican agenda,The complaint was brought under the category of mis- or disinformation and states that the caption and video submitted for review accuses Barack Obama of burning bibles,This is disinformation (constituting video clips taken out of context) to further a divisive Republican political agenda. There are no signs of people 'burning bibles' in the clips. The claim that Obama burned bibles is not true and debunked here: https://www.factcheck.org/2009/05/burned-bibles/,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/JX6W1WKK__0.jpeg,Meyer Le Roux 4 September . 3 AB de Villiers. Hierdie is jou maatjies wat brand,plunder,bybels brand en vernietig. Jy's seker moerse trots? 0:08/3:17 CHANGE Ben Shapiro - 04-Sep-03 Polls TANK for Democrats as Americans see THIS. f See the results and other info about the 2020 US X Election. |,2020-11-24 12:11:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,https://www.facebook.com/meyer.g.leroux,Sweden's approach is the correct one to Covid control,Complaint that this post embraces the plandemic conspiracy theory.,This is constitutes Misinformation and an infographic must be issued.,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/cm6e1unq__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/cm6e1unq__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/cm6e1unq__0.jpeg,Meyer Le Roux ... 1 August . o Plandemie-102 LOUDERWITHCROWDER.COM MEANWHILE IN SWEDEN: Covid Cases and Death Plummets. Without a Shutdown,Masks,or Panic! 15 4 shares |,Meyer Le Roux ... 1 August . o Plandemie-102 LOUDERWITHCROWDER.COM MEANWHILE IN SWEDEN: Covid Cases and Death Plummets. Without a Shutdown,Masks,or Panic! 15 4 shares |,Meyer Le Roux ... 1 August . o Plandemie-102 LOUDERWITHCROWDER.COM MEANWHILE IN SWEDEN: Covid Cases and Death Plummets. Without a Shutdown,Masks,or Panic! 15 4 shares |,2020-11-24 12:18:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,https://m.facebook.com/100002473255099/posts/3459286834163724/#_=_,Video makes a number of claims re. vaccine and Bill Gates,The complainant states: The information could reasonably be construed to cause public harm,as it may convince people to not take a COVID-19 vaccine,thus endangering other people's lives.,This is clearly a conspiracy theory containing mis- and disinformation. The claim that COVID-19 vaccines include MRC-5 cells from an aborted fetus has been disproved - https://www.reuters.com/article/uk-factcheck-vaccine-idUSKBN27W2I7 Imagary included in the video (0'32) refer to the microchip/ Bill Gates/ vaccine conspiracy theory Claim that first round of vaccines are doomed to fail in developing world countries is unsupported (0'50) mRNA vaccines do not alter your DNA - https://fullfact.org/health/mrna-covid-vaccine/ The video also includes references to 'mark of the beast' conspiracy theories based on a specific religious dogma presented in manner that creates fear,anger and uncertainty. It includes many conspiracy theories related to Bill Gates including reference to a patent which has not yet been granted - https://fullfact.org/online/bill-gates-patent-microchips/ and Plandemic - another set of COVID-19 related conspiracy theories - https://theconversation.com/coronavirus-plandemic-and-the-seven-traits-of-conspiratorial-thinking-138483. Reference is also made to the 'Great Reset' set of conspiracy theories - https://www.bbc.com/news/55017002,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/HGAUNIRI__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/HGAUNIRI__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/HGAUNIRI__0.jpeg,4G* 86 02:23 https://m.facebook.com/100002473255099/posts/3459286 Vaccine - Paul Francois Ferreira I F Paul Francois Ferreira 22 November at 03:52 Vaccine Ezekiel 33 Berean Study Bible Par . Ezekiel the Watchman for Israel Again the word of the LORD came to me,saying Son of man speak to your people and tell them: Suppose I bring the swam against a land and the peogla of that land chooce a man from among them appointing him as thair watchinan,and he sees me sword coming against that land and blows w to warn the people Than If of II= nom 4 M the willh the will hie herand firm to hand the tha will the on hri IK ne nax nut mur II ise ANDING cornes ana avinir il life: Iheri www.in his in no Am for vou 0 son of I medie for of from and olve Me  thay ILA is WELKING 0 tous him fixm him way Wicked mhan mil the In rei will hold loi Nis Butt H DE the #NAME? silo we of tienti How can we liver Like Comment Share 24 134 shares |,4G* 86 02:23 https://m.facebook.com/100002473255099/posts/,2020-11-25 0:24:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,https://www.facebook.com/dushka.kraus,Facebook post questions the need to wear masks - link to government conspiracy,The complainant states: False information about wearing a mask. You need to read some of this person's posts to follow her trend of debunking covid-19.,Given the public health protocols around COVID-19,a post seeking to entirely discredit the wearing of masks by amongst other things,linking it to a government conspiracy (without any evidence),should be marked as misinformation on those grounds. Questioning is commendable,and this is not where the misinformation lies - it is primarily in the unfounded claims to support the argument against mask wearing,as pointed out above.  The use of fabric masks is a robust measure to be combined with other prevention measures,it is not infallible and has limited efficacy. https://www.nature.com/articles/d41586-020-02801-8 However,given that the current COVID-19 precaution measures include the wearing of masks,completely denying the efficacy of masks (on a public platform such as Facebook) may result in non-compliance. This is disadvantageous. While the protection offered may be limited,it does still work to some extent to limit the spread of COVID-19,especially in crowded indoor spaces https://www.researchgate.net/publication/343234447_Efficacy_of_cloth_face_mask_in_prevention_of_novel_coronavirus_infection_transmission_A_systematic_review_and_meta-analysis.,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/q1m06e9n__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/q1m06e9n__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/q1m06e9n__0.png,Dushka Kruyer 16 November at 12:36 LETS THINK,SHALL WE? There are medical experts that say wearing a mask stops the spread of the virus. There are just as many,if not more,that say the absolute opposite,and even go so far as to say that,wearing a mask hinders your immune system from working optimally and as a result you become more suspetible to getting the dreaded corona flu virus by wearing a mask. So who do we believe? Both sides are experts in virology,and yet have opposing conclusions about mask wearing? This is where it becomes interesting and somewhat suspicious. Have you noticed that the medical experts) who are FOR the wearing of masks are the only ones getting mainstream coverage? And isn't it amazing that all these medical experts' who are FOR mask wearing are the only ones endorsed by governments worldwide? Conclusion: When we are confronted with such opposing findings from Follow Q ... I would say that when we are confronted with a situation like this that,,,,,,,,,,,,,,,,,,,,,,
1097,https://www.facebook.com/esther.meshoe.5,Tweet: Claim of mass fraud in the US Election,Claim that there was mass fraud in the US Election.,This meets most of the criteria for Mis/Disinformation but not the public harm criteria,particularly within South African context,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/mzj0w953__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/mzj0w953__0.png,Esther Meshoe 11h a President Donald Trump wrote Why is Joe Biden so quickly forming a Cabinet when my investigators have found hundreds of thousands of fraudu lent votes,enough to flip' at least four States. which in turn is more than enough to win the Election? Hopefully the Courts and/o Legislatures will have the COURAGE do what has to be done to maintain the integrity of Elections and the United States of America itself THE WORL IS WATCHING!! You and 249 others 42 comments 35 shares Haha A Share All comments - Dushka Kruyer Those who are full the devil are fools who rush in wait for the carpet to be pulled right from Joe Biden and his cohorts. It's going to be epic the whole world will be watching Pride goes before destruction a haugh See more Like Sydney Daniel HALLELUJAH. Election fraud capital offence. So criminal heads may roll literally Like 2 h Wendy Montgomery Indeed the whole world is watching some in silence but yes. Everyone is watching and many are praying for the truth to be revealed. Like 6,2020-11-25 10:13:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,https://twitter.com/renaldogouws/status/1331525740425338881?s=21,Renaldo Gouws: Tweets on Elon Musk,Complaint against the allegation that Renaldo Gouws makes that Elon Musk left South Africa because of race based redress policies. This is in fact false and misleading,as Musk left way before democracy came to South Africa.,This is false information but does not meet the other criteria of mis/disinformation.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/4mc42unn__0.jpeg,Renaldo Ngamla Gouws @ RenaldoGouws Perhaps if you didn't enforce race- based discrimination policies he would never have left and one of the wealthiest men on earth would live in South Africa. Instead,your policies forced him overseas where he is thriving. Tsek with your begging hands. Derek Hanekom @Derek_Hanekom . 5h Of course we celebrate his success. Now wouldn't it be wonderful if he ploughs back some of that wealth into the land of his birth! |,2020-11-25 12:03:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,https://twitter.com/quanworldwide/status/1331557571992358915?s=19,#PutSouthAfricansfirst: Tweet regarding Truck Drivers being foreigners,Complaint that this is in relation with the recent truck violence. This user is saying that 99% of truck drivers who work for the particular company in South Africa are foreign nationals.,This constitutes disinformation and should be marked FAKE and an infographic issued. There are already documented cases of violence against truck drivers. This type of content adds fuel to those flames.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/T3CCUIK0__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/T3CCUIK0__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/T3CCUIK0__0.jpeg,MTNSA-Take Care Mz. 46 will 45% I 15:16 Tweet #PutSouthAfricaFirst H T R E A 5 N T S P o o N R Y T 799 13:17:25 . Nov 20 . Twitter for Android 1 Retweet 4 Likes D L2 <: Evoru 2 hours ^ WOMAN 1h v Tweet your reply O J O |,MTNSA-Take Care Mz. 46 will 45% I 15:16 Tweet #PutSouthAfricaFirst H T R E A 5 N T S P o o N R Y T 799 13:17:25 . Nov 20 . Twitter for Android 1 Retweet 4 Likes D L2 <: Evoru 2 hours ^ WOMAN 1h v Tweet your reply O J O |,MTNSA-Take Care Mz. 46 will 45% I 15:16 Tweet #PutSouthAfricaFirst H T R E A 5 N T S P o o N R Y T 799 13:17:25 . Nov 20 . Twitter for Android 1 Retweet 4 Likes D L2 <: Evoru 2 hours ^ WOMAN 1h v Tweet your reply O J O |,2020-11-25 13:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,https://twitter.com/renaldogouws/status/1331624510932611072?s=21,(Now deleted) tweet claims that Julius Malema is sending himself death threats,Complaint: DA Councillor Renaldo Gouws,makes the claim that Julius Malema is sending himself racist death threats,after Julius posted the message on Twitter.,The tweet in question has been deleted. In any event,while Renaldo's claim that if you type the number into TrueCaller you will get the same result is true,this does not automatically confirm that the number is indeed Malema's due to the manner by which TrueCaller works - the platform's data is crowd-sourced from users who've downloaded the app onto their phones. This means that if enough users save the number as Malema's,it will provide that as the result - particularly in the absence of any other data linked. [UPDATE: Tweet from Renaldo stating that he was not aware that Truecaller works in this way https://twitter.com/RenaldoGouws/status/1331930503201615873?s=20],Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/QPOFNX7T__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/QPOFNX7T__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/QPOFNX7T__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/QPOFNX7T__1.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/QPOFNX7T__1.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/QPOFNX7T__1.jpeg,Renaldo Ngamia Gouws 0 15,9K Tweets ets Tweets & replies Media Likes 31 T2 44 285   Renaldo Ngamla Gouws >>.3h Why is he sending himself hate filled messages? Type in the number in truecaller if you don't believe me. 17:41 715842200 X Cancel Julius Malema JM > 27715842200 *- - ZIMBABWE Julius Sello Malema @J... . 6h - - e   - |,Renaldo Ngamia Gouws 0 15,9K Tweets ets Tweets & replies Media Likes 31 T2 44 285   Renaldo Ngamla Gouws >>.3h Why is he sending himself hate filled messages? Type in the number in truecaller if you don't believe me. 17:41 715842200 X Cancel Julius Malema JM > 27715842200 *- - ZIMBABWE Julius Sello Malema @J... . 6h - - e - |,Renaldo Ngamia Gouws 0 15,9K Tweets ets Tweets & replies Media Likes 31 T2 44 285 Renaldo Ngamla Gouws >>.3h Why is he sending himself hate filled messages? Type in the number in truecaller if you don't believe me. 17:41 715842200 X Cancel Julius Malema JM > 27715842200 *- - ZIMBABWE Julius Sello Malema @J... . 6h - - e   - |,Goat @Goat85122437.,2020-11-25 19:46:53,,,,,,,,,,,,,,,,,,,,,,,
1105,https://twitter.com/vanillamonkey/status/1332268176340627456?s=19,Tweet claims that masks are unhealthy,Tweet states amongst other things,that masks are unhealthy and that masks constitute unscientific methods to stop the virus.,The claim that masks are unhealthy is misinformation. It is not backed by any evidence. While the use of fabric masks is a robust measure to be combined with other prevention measures,it is not infallible and has limited efficacy. https://www.nature.com/articles/d41586-020-02801-8 However,given that the current COVID-19 precaution measures include the wearing of masks,completely denying the efficacy of masks (on a public platform such as Twitter) may result in non-compliance. This is disadvantageous. While the protection offered may be limited,it does still work to some extent to limit the spread of COVID-19,especially in crowded indoor spaces https://www.researchgate.net/publication/343234447_Efficacy_of_cloth_face_mask_in_prevention_of_novel_coronavirus_infection_transmission_A_systematic_review_and_meta-analysis. Given this risk,the tweet was marked as misinformation.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/4rwhf1wm__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/4rwhf1wm__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/4rwhf1wm__0.jpeg,André @vanillamonkey It's shocking what bullshit @CapeTalk promotes. Masks are unhealthy. This leftist rag supports unscientific methods to stop a virus and then wants to trust our incompetent,corrupt government to enforce. 12:21 pm . 27 Nov 20 . Twitter for Android |,André @vanillamonkey It's shocking what bullshit @CapeTalk promotes. Masks are unhealthy. This leftist rag supports unscientific methods to stop a virus and then wants to trust our incompetent,corrupt government to enforce. 12:21 pm . 27 Nov 20 . Twitter for Android |,André @vanillamonkey It's shocking what bullshit @CapeTalk promotes. Masks are unhealthy. This leftist rag supports unscientific methods to stop a virus and then wants to trust our incompetent,corrupt government to enforce. 12:21 pm . 27 Nov 20 . Twitter for Android |,2020-11-27 10:31:05,,,,,,,,,,,,,,,,,,,,,,,,,
1117,As the levels of the vaal dam are dropping old Graves are starting to be visible. So that dam was built on top of Graves so in essence we have been drinking dead people water here in Gauteng. https://t.co/X1tuiz8vEh,Graves in Vaal Dam picture is not current (likely from 2016,not 2020),Claim that tweet is reporting old wrong news,This tweet was reported under the category of journalist harassment. It does not meet any of the criteria. The tweet in question is misinformation because it is old news posted without any reference to this fact. Given the nature of AdvoBarryRoux's Twitter account,people know not to take him too seriously. However,for the record,the incident that is being tweeted about is in relation to an old photo most likely to have been taken in 2016 when the graves were exposed due to the low water levels of the dam at that time. See here for more information: https://africacheck.org/fbcheck/yes-photos-show-graves-submerged-beneath-south-africas-vaal-dam/,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/yyp2go7z__0.jpeg,P . H+ it 25% 02:01 Tweet Sinenhlanhla Zondi and 2 others liked that if put it Man's NOT Barry Roux X to you...? @AdvoBarryRoux As the levels of the vaal dam are dropping old Graves are starting to be visible. So that dam was built on top of Graves so in essence we have been drinking dead people water here in Gauteng. 8:35 . 28 Nov 20 . Twitter for iPhone Tweet your reply O |,2020-11-29 0:03:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,https://twitter.com/Klipkop12/status/1332807422566682625,@klipklop12,The poster makes it seem as if the COVID-19 virus is just as dangerous/deadly as the regular seasonal flu.,This constitutes misinformation. The information on Covid-19 deaths is juxtaposed with the death statistics for influenza and pneumonia in a perceived attempt to mislead viewers to believe that Covid-19 is the same as the flu in terms of seriousness and fatalities. However,there is ample scientific evidence that affirms that claiming that Covid-19 is 'just the flu' is not accurate at all.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/VVTWTTA3__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/VVTWTTA3__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/VVTWTTA3__1.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/VVTWTTA3__1.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/VVTWTTA3__2.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/VVTWTTA3__2.jpeg,28 NOVEMBER COVID - 19 STATISTICS IN RSA 2020 PROVINCES AT A GLANCE LIMPOPO 18 550 3 198 785 139 NORTH WEST GAUTENG CASES 34 793 234 572 NEW CASES TOTAL CASES NORTHERN CAPE MPUMALANGA 23 156 21 439 31 317 61 723 347 PERSONS NEW DEATHS TOTAL DEATHS TOTAL RECOVERIES WESTERN CAPE KWAZULU- NATAL 130 782 127 506 EASTERN CAPE FREE STATE the 125 480 58 983 NATIONAL INSTITUTE FOR www.nicd.ac.za COVID-19 - TOLL-FREE NUMBER 0800 029999 COMMUNICABLE DISEASES Division of cise National Health Laboratory Service |,28 NOVEMBER COVID - 19 STATISTICS IN RSA 2020 PROVINCES AT A GLANCE LIMPOPO 18 550 3 198 785 139 NORTH WEST GAUTENG CASES 34 793 234 572 NEW CASES TOTAL CASES NORTHERN CAPE MPUMALANGA 23 156 21 439 31 317 61 723 347 PERSONS NEW DEATHS TOTAL DEATHS TOTAL RECOVERIES WESTERN CAPE KWAZULU- NATAL 130 782 127 506 EASTERN CAPE FREE STATE the 125 480 58 983 NATIONAL INSTITUTE FOR www.nicd.ac.za COVID-19 - TOLL-FREE NUMBER 0800 029999 COMMUNICABLE DISEASES Division of cise National Health Laboratory Service |,Table 4.5:,2020-11-30 16:23:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
